time,ch1,ch2,
0.00E+00,0,0,
0.00E+00,0,-0.0016,
1.00E-07,0,-0.0032,
1.00E-07,0,-0.0024,
2.00E-07,0,-0.0032,
2.00E-07,0,0,
3.00E-07,0,-0.0024,
3.00E-07,0,-0.0024,
4.00E-07,0,0,
4.00E-07,0,-0.0024,
5.00E-07,0,-0.0024,
5.00E-07,0,-0.0016,
6.00E-07,0,-0.0096,
6.00E-07,0,0.0104,
7.00E-07,0,-0.0128,
7.00E-07,0,0.004,
8.00E-07,0,0.0016,
8.00E-07,0,-0.0048,
9.00E-07,0,0,
9.00E-07,0,-0.0032,
1.00E-06,0,-0.0016,
1.00E-06,0,0,
1.10E-06,0,-0.0016,
1.10E-06,0,-0.004,
1.20E-06,0,-0.0032,
1.20E-06,0,0,
1.30E-06,0,-0.0016,
1.30E-06,0,-0.0048,
1.40E-06,0,0,
1.40E-06,0,-0.0048,
1.50E-06,0,-0.0032,
1.50E-06,0,0,
1.60E-06,0,-0.0048,
1.60E-06,0,0,
1.70E-06,0,-0.0048,
1.70E-06,0,-0.0024,
1.80E-06,0,-0.0016,
1.80E-06,0,-0.0016,
1.90E-06,0,0,
1.90E-06,0,-0.0024,
2.00E-06,0,-0.0032,
2.00E-06,0,0,
2.10E-06,0,-0.0016,
2.10E-06,0,-0.0024,
2.20E-06,0,0.0032,
2.20E-06,0,-0.0088,
2.30E-06,0,0.004,
2.30E-06,0,-0.0064,
2.40E-06,0,0.004,
2.40E-06,0,-0.0048,
2.50E-06,0,-0.0024,
2.50E-06,0,-0.0024,
2.60E-06,0,0,
2.60E-06,0,-0.0032,
2.70E-06,0,0,
2.70E-06,0,-0.0048,
2.80E-06,0,0,
2.80E-06,0,-0.0016,
2.90E-06,0,-0.0024,
2.90E-06,0,0,
3.00E-06,0,-0.0032,
3.00E-06,0,0,
3.10E-06,0,-0.0032,
3.10E-06,0,-0.0016,
3.20E-06,0,0,
3.20E-06,0,-0.0032,
3.30E-06,0,-0.0024,
3.30E-06,0,-0.0048,
3.40E-06,0,-0.0016,
3.40E-06,0,-0.0016,
3.50E-06,0,0,
3.50E-06,0,-0.0056,
3.60E-06,0,-0.0024,
3.60E-06,0,-0.0016,
3.70E-06,0,-0.0032,
3.70E-06,0,-0.0024,
3.80E-06,0,-0.0024,
3.80E-06,0,-0.0024,
3.90E-06,0,-0.0016,
3.90E-06,0,-0.0024,
4.00E-06,0,0,
4.00E-06,0,-0.0032,
4.10E-06,0,0,
4.10E-06,0.04,-0.0048,
4.20E-06,0,0,
4.20E-06,0,-0.0016,
4.30E-06,0.04,0,
4.30E-06,0,-0.0024,
4.40E-06,0,-0.0024,
4.40E-06,0,0,
4.50E-06,0,-0.0024,
4.50E-06,0,0,
4.60E-06,0,-0.004,
4.60E-06,0,-0.0016,
4.70E-06,0.04,-0.0032,
4.70E-06,0.04,-0.0024,
4.80E-06,0,0.0016,
4.80E-06,0,-0.0048,
4.90E-06,0,-0.0016,
4.90E-06,0,-0.0048,
5.00E-06,0,-0.0024,
5.00E-06,0,0,
5.10E-06,0,-0.0032,
5.10E-06,0,-0.0016,
5.20E-06,0,-0.0024,
5.20E-06,0,0,
5.30E-06,0,-0.0016,
5.30E-06,0,-0.0016,
5.40E-06,0,-0.0016,
5.40E-06,0,-0.0024,
5.50E-06,0,-0.0016,
5.50E-06,0,-0.0032,
5.60E-06,0,0,
5.60E-06,0,-0.0032,
5.70E-06,0,0.0016,
5.70E-06,0.04,-0.0152,
5.80E-06,0,-0.0024,
5.80E-06,0,0.0064,
5.90E-06,0,-0.0112,
5.90E-06,0,0,
6.00E-06,0,-0.0056,
6.00E-06,0,0,
6.10E-06,0,-0.0016,
6.10E-06,0,-0.0096,
6.20E-06,0,0.0032,
6.20E-06,0,-0.0016,
6.30E-06,0,-0.012,
6.30E-06,0,0.008,
6.40E-06,0,-0.0024,
6.40E-06,0,-0.0024,
6.50E-06,0,-0.0032,
6.50E-06,0,0,
6.60E-06,0,-0.0032,
6.60E-06,0,-0.0048,
6.70E-06,0,0.0024,
6.70E-06,0,-0.0056,
6.80E-06,0,0,
6.80E-06,0,0,
6.90E-06,0,-0.0032,
6.90E-06,0,-0.0072,
7.00E-06,0,-0.0024,
7.00E-06,0,-0.0048,
7.10E-06,0,-0.0024,
7.10E-06,0,0.0048,
7.20E-06,0.04,-0.0056,
7.20E-06,0,-0.0016,
7.30E-06,0,-0.0024,
7.30E-06,0,-0.0024,
7.40E-06,0,0.0016,
7.40E-06,0,-0.0048,
7.50E-06,0,-0.0016,
7.50E-06,0,-0.0032,
7.60E-06,0.04,-0.0016,
7.60E-06,0,0.0016,
7.70E-06,0,-0.0056,
7.70E-06,0,0,
7.80E-06,0,-0.0024,
7.80E-06,0,-0.0048,
7.90E-06,0,0.0016,
7.90E-06,0,-0.0048,
8.00E-06,0,0,
8.00E-06,0,-0.0048,
8.10E-06,0,-0.0024,
8.10E-06,0,-0.0032,
8.20E-06,0,-0.0032,
8.20E-06,0,0,
8.30E-06,0,-0.0064,
8.30E-06,0,-0.0024,
8.40E-06,0,-0.0032,
8.40E-06,0,-0.0024,
8.50E-06,0,0,
8.50E-06,0,-0.0048,
8.60E-06,0,0,
8.60E-06,0,-0.0032,
8.70E-06,0,-0.0016,
8.70E-06,0,0,
8.80E-06,0,-0.0016,
8.80E-06,0,0,
8.90E-06,0,-0.0032,
8.90E-06,0,0,
9.00E-06,0,-0.0024,
9.00E-06,0,0,
9.10E-06,0,-0.0024,
9.10E-06,0,-0.0016,
9.20E-06,0,-0.0024,
9.20E-06,0,-0.0032,
9.30E-06,0,0,
9.30E-06,0,-0.0056,
9.40E-06,0,0,
9.40E-06,0,-0.0048,
9.50E-06,0.04,-0.0016,
9.50E-06,0,-0.0032,
9.60E-06,0,-0.0024,
9.60E-06,0,-0.0024,
9.70E-06,0,0,
9.70E-06,0,-0.0032,
9.80E-06,0,0,
9.80E-06,0,-0.0016,
9.90E-06,0,0,
9.90E-06,0,-0.0024,
1.00E-05,0,0,
1.00E-05,0,0,
1.01E-05,0,-0.0016,
1.01E-05,0,0,
1.02E-05,0,0,
1.02E-05,0,-0.0024,
1.03E-05,0,0.0016,
1.03E-05,0,-0.0064,
1.04E-05,0,0,
1.04E-05,0,-0.0056,
1.05E-05,0,-0.0024,
1.05E-05,0,-0.0048,
1.06E-05,0,-0.0032,
1.06E-05,0,-0.0024,
1.07E-05,0,-0.004,
1.07E-05,0,-0.0032,
1.08E-05,0,-0.0024,
1.08E-05,0,-0.0032,
1.09E-05,0,0,
1.09E-05,0,-0.004,
1.10E-05,0,0,
1.10E-05,0,-0.0024,
1.11E-05,0,0,
1.11E-05,0,-0.0048,
1.12E-05,0,0.0024,
1.12E-05,0,-0.0032,
1.13E-05,0,0,
1.13E-05,0,-0.0032,
1.14E-05,0,0,
1.14E-05,0,-0.0024,
1.15E-05,0,-0.0016,
1.15E-05,0,-0.0032,
1.16E-05,0,-0.0024,
1.16E-05,0.04,-0.0024,
1.17E-05,0,-0.0032,
1.17E-05,0,-0.0024,
1.18E-05,0,-0.0048,
1.18E-05,0,-0.0016,
1.19E-05,0,-0.0032,
1.19E-05,0,-0.0024,
1.20E-05,0,-0.0016,
1.20E-05,0,-0.0032,
1.21E-05,0,0,
1.21E-05,0,-0.0048,
1.22E-05,0,0,
1.22E-05,0,0,
1.23E-05,0,0,
1.23E-05,0,-0.0024,
1.24E-05,0,0,
1.24E-05,0,-0.0016,
1.25E-05,0,-0.0024,
1.25E-05,0,-0.0024,
1.26E-05,0,0,
1.26E-05,0,-0.0024,
1.27E-05,0,-0.0024,
1.27E-05,0,-0.0024,
1.28E-05,0,-0.0016,
1.28E-05,0,-0.0032,
1.29E-05,0,-0.0032,
1.29E-05,0,-0.0024,
1.30E-05,0,-0.0048,
1.30E-05,0,0,
1.31E-05,0,0,
1.31E-05,0,-0.0096,
1.32E-05,0,0.0064,
1.32E-05,0,-0.0064,
1.33E-05,0,0.0032,
1.33E-05,0,-0.0032,
1.34E-05,0,-0.0112,
1.34E-05,0,0.0112,
1.35E-05,0,-0.0112,
1.35E-05,0,0.0048,
1.36E-05,0,-0.0024,
1.36E-05,0,-0.0056,
1.37E-05,0,0.0088,
1.37E-05,0,-0.0128,
1.38E-05,0,0.0072,
1.38E-05,0,-0.0048,
1.39E-05,0,-0.0056,
1.39E-05,0,0.0032,
1.40E-05,0,-0.0096,
1.40E-05,0,0.0048,
1.41E-05,0,-0.0048,
1.41E-05,0,-0.0032,
1.42E-05,0,0.0016,
1.42E-05,0,-0.0064,
1.43E-05,0,0.0032,
1.43E-05,0,-0.0024,
1.44E-05,0,-0.0032,
1.44E-05,0,0.0016,
1.45E-05,0,-0.0024,
1.45E-05,0,0.0016,
1.46E-05,0,-0.0024,
1.46E-05,0,-0.0048,
1.47E-05,0,0.0016,
1.47E-05,0,0,
1.48E-05,0,0,
1.48E-05,0,0,
1.49E-05,0,0.0104,
1.49E-05,0,-0.0176,
1.50E-05,0,0,
1.50E-05,0,0.0064,
1.51E-05,0.04,-0.0064,
1.51E-05,0,0.0064,
1.52E-05,0,-0.0056,
1.52E-05,0,-0.0016,
1.53E-05,0,-0.0088,
1.53E-05,0,0,
1.54E-05,0,0,
1.54E-05,0,0.0032,
1.55E-05,0,-0.0056,
1.55E-05,0,-0.0024,
1.56E-05,0,-0.0032,
1.56E-05,0,0,
1.57E-05,0,0,
1.57E-05,0,0,
1.58E-05,0,-0.0024,
1.58E-05,0,-0.0024,
1.59E-05,0,-0.0048,
1.59E-05,0,0,
1.60E-05,0,-0.0048,
1.60E-05,0,0,
1.61E-05,0,-0.0048,
1.61E-05,0,-0.0024,
1.62E-05,0,-0.0056,
1.62E-05,0,-0.0048,
1.63E-05,0,-0.0016,
1.63E-05,0,-0.0048,
1.64E-05,0,-0.0024,
1.64E-05,0,-0.0016,
1.65E-05,0,-0.0024,
1.65E-05,0,0,
1.66E-05,0,-0.0016,
1.66E-05,0,0,
1.67E-05,0,0,
1.67E-05,0,0,
1.68E-05,0,0.004,
1.68E-05,0,0.0024,
1.69E-05,0,0.0032,
1.69E-05,0,0.004,
1.70E-05,0,0.0032,
1.70E-05,0,0.0072,
1.71E-05,0,0,
1.71E-05,0,0,
1.72E-05,0,0,
1.72E-05,0,0.0024,
1.73E-05,0,-0.004,
1.73E-05,0,0,
1.74E-05,0,-0.0048,
1.74E-05,0,-0.0056,
1.75E-05,0,-0.0032,
1.75E-05,0,-0.0096,
1.76E-05,0,-0.0024,
1.76E-05,0,-0.012,
1.77E-05,0,-0.0024,
1.77E-05,0,-0.0096,
1.78E-05,0,-0.0024,
1.78E-05,0,-0.0024,
1.79E-05,0,0,
1.79E-05,0,-0.0056,
1.80E-05,0,0,
1.80E-05,0,0,
1.81E-05,0,0.0016,
1.81E-05,0,0.0016,
1.82E-05,0,0.0032,
1.82E-05,0,0,
1.83E-05,0,0.004,
1.83E-05,0,0.0016,
1.84E-05,0,0.0016,
1.84E-05,0,0.0016,
1.85E-05,0,0,
1.85E-05,0,-0.0024,
1.86E-05,0,0,
1.86E-05,0,0,
1.87E-05,0,-0.0072,
1.87E-05,0,0,
1.88E-05,0,-0.0064,
1.88E-05,0,-0.0016,
1.89E-05,0,-0.0056,
1.89E-05,0,-0.0024,
1.90E-05,0,-0.0032,
1.90E-05,0,-0.0024,
1.91E-05,0,-0.004,
1.91E-05,0,0,
1.92E-05,0,0,
1.92E-05,0,0,
1.93E-05,0,-0.0016,
1.93E-05,0,-0.0016,
1.94E-05,0,0.0016,
1.94E-05,0,0,
1.95E-05,0,0,
1.95E-05,0,0,
