time,ch1,ch2,,,,
0.00E+00,0,-0.004,,,,
0.00E+00,0,0.002,,,,
1.00E-07,0,0,,,,
1.00E-07,0,-0.002,,,,
2.00E-07,0,0,,,,
2.00E-07,0,-0.006,,,,
3.00E-07,0,0,,,,
3.00E-07,0,-0.002,,,,
4.00E-07,0,0.002,,,,
4.00E-07,0,-0.004,,,,
5.00E-07,0,0,,,,
5.00E-07,0,-0.004,,,,
6.00E-07,0,-0.002,,,,
6.00E-07,0,0,,,,
7.00E-07,0,-0.006,,,,
7.00E-07,0,0.002,,,,
8.00E-07,0,-0.006,,,,
8.00E-07,0,0,,,,
9.00E-07,0,0,,,,
9.00E-07,0,-0.004,,,,
1.00E-06,0,0,,,,
1.00E-06,0,-0.002,,,,
1.10E-06,0,0,,,,
1.10E-06,0,-0.004,,,,
1.20E-06,0,0.002,,,,
1.20E-06,0,-0.004,,,,
1.30E-06,0,0,,,,
1.30E-06,0,-0.004,,,,
1.40E-06,0,0,,,,
1.40E-06,0,-0.002,,,,
1.50E-06,0,0,,,,
1.50E-06,0,-0.004,,,,
1.60E-06,0,0,,,,
1.60E-06,0,-0.002,,,,
1.70E-06,0,0,,,,
1.70E-06,0,0,,,,
1.80E-06,0,0,,,,
1.80E-06,0,-0.004,,,,
1.90E-06,0,0,,,,
1.90E-06,0,0,,,,
2.00E-06,0,0,,,,
2.00E-06,0,0,,,,
2.10E-06,0,0,,,,
2.10E-06,0,-0.004,,,,
2.20E-06,0,0.002,,,,
2.20E-06,0,0.002,,,,
2.30E-06,0,0,,,,
2.30E-06,0,0,,,,
2.40E-06,0,0,,,,
2.40E-06,0,0,,,,
2.50E-06,0,0.002,,,,
2.50E-06,0,0,,,,
2.60E-06,0,-0.002,,,,
2.60E-06,0,0.002,,,,
2.70E-06,0,-0.002,,,,
2.70E-06,0,0,,,,
2.80E-06,0,0,,,,
2.80E-06,0,-0.004,,,,
2.90E-06,0,0,,,,
2.90E-06,0,-0.004,,,,
3.00E-06,0,-0.004,,,,
3.00E-06,0,0.002,,,,
3.10E-06,0,-0.004,,,,
3.10E-06,0,0,,,,
3.20E-06,0,0,,,,
3.20E-06,0,0,,,,
3.30E-06,0,0,,,,
3.30E-06,0,0,,,,
3.40E-06,0,-0.004,,,,
3.40E-06,0,0.002,,,,
3.50E-06,0,-0.002,,,,
3.50E-06,0,-0.004,,,,
3.60E-06,0,0,,,,
3.60E-06,0,0,,,,
3.70E-06,0,-0.004,,,,
3.70E-06,0,-0.002,,,,
3.80E-06,0,0,,,,
3.80E-06,0,0,,,,
3.90E-06,0,0,,,,
3.90E-06,0,-0.004,,,,
4.00E-06,0,0,,,,
4.00E-06,0,0,,,,
4.10E-06,0,-0.002,,,,
4.10E-06,0,0,,,,
4.20E-06,0,-0.002,,,,
4.20E-06,0,0.002,,,,
4.30E-06,0,0,,,,
4.30E-06,0,0.002,,,,
4.40E-06,0,0,,,,
